序号,题目类型,题目模态,题目,生成回复内容,人工审核结果
1282,产教融合垂类问题,文本,在产教融合背景下，职业院校如何解决高技能人才进入教师队伍的路径不畅问题？,"针对高技能人才进入职业院校的路径不畅，应通过以下制度设计打通瓶颈：
1. **实施实践教学教师资格证书制度**：建立基于技能和技艺的遴选条件，降低对学科学术能力及学历的要求，借鉴英国和澳大利亚的经验，为只有行业和企业经验的能手提供基于能力的教师资格课程体系认证。
2. **建立专业实践教学教师培训制度**：开发师德师风和实践教学能力培训包，对高技能人才进行专门的职业教育理论和教学实践培训，考核合格后核发教师资格证书。
3. **建立校企高技能人才双向交流机制**：规定实践教学教师在5年工作周期后，需回企业一线连续工作3-6个月，以更新知识和技能，保持技术领先，同时支持企业设立""候鸟型""高技能人才服务于职业院校。",
1283,产教融合垂类问题,文本,应用型高校在产教融合型教师培养体系中应扮演什么角色？,"应用型高校应成为职教师资培养的主力军，构建开放型培养体系。具体措施包括：
1. **优化专业学位研究生教育**：在专业学位下增设职业技术教育方向，采用""专业教育+职业教育""的主辅修制，增强人才培养的适用性。
2. **强化实践能力培养**：在培养过程中，确保研究生到企业实践顶岗工作至少一个学期，增强专业实践能力，使毕业生能更好地适应职业教育教学。
3. **培养复合型人才**：在原有专业体系外融入职业教育教学能力培养，增加职业教育教学实践环节，使毕业生具备从事职业教育的知识和技能。",
1284,产教融合垂类问题,文本,当前职业院校“双师型”教师队伍建设存在哪些主要困境？,"当前职业院校“双师型”教师队伍建设主要面临三大困境：
1. **职前培养不足**：职教专硕培养规模小，无法满足职业教育需求；职教专硕人才培养定位不准确，与企业需求不匹配，且企业实践环节薄弱，导致毕业生专业知识和技能滞后。
2. **高技能人才进入路径不畅**：存在政府、学校、企业、个人四个层面的障碍，如企业不愿放、学校请不到、个人不愿教等，且产业教师（导师）到校兼职任教的体制机制不明确。
3. **重在职培训轻学历提升**：虽然教师培训体系完善，但缺乏体系化的在职学历提升政策，在职教师提升学历的通道狭窄，难以从根本上提升教师队伍的整体素质。",
1285,产教融合垂类问题,文本,如何通过产教融合为“双师型”教师队伍建设提供可持续发展保障？,"通过产教融合为“双师型”教师队伍建设提供保障的关键在于构建开放体系和建立双向流动机制：
1. **建设开放型培养体系**：吸引应用型高校加入职教教师培养体系，扩大培养规模，通过校企合作强化实践能力培养。
2. **建立校企双向流动机制**：打通“旋转门”，支持企业技术和管理人才到学校任教，鼓励学校教师到企业实践，确保教师队伍的技术水平与时代同步。
3. **完善企业实践基地建设**：通过国家级、省级到校级的三级企业实践基地建设，形成资源共享网络，为教师提供稳定的企业实践平台。",
1286,产教融合垂类问题,文本,请简述我国高职教育产教融合的主要政策支持方向。,我国高职教育产教融合的政策支持方向主要包括：落实政策支持，提供产教融合制度保障；调整专业结构，深化产教融合发展方向；加强技术创新，转变产教融合培养理念；兼顾区域差异，促进产教融合协调发展。这些政策旨在通过制度保障、专业优化、技术创新和区域协同，提升产教融合水平，服务区域经济高质量发展。,
1287,产教融合垂类问题,文本,如何构建高职教育产教融合的评价指标体系？,构建高职教育产教融合评价指标体系需从高职教育发展系统和产业发展系统两方面入手。高职教育发展系统包括培养过程（经费投入、师资投入、企业投入）和培养成效（学生满意度、就业水平）两大维度；产业发展系统包括产业规模、产业质量、产业效益、产业可持续四大维度。通过熵值法确定各指标权重，采用耦合协调度模型综合评价产教融合发展水平。,
1288,产教融合垂类问题,文本,分析产业结构高级化对高职教育产教融合的负面影响及其原因。,产业结构高级化对高职教育产教融合发展水平具有显著负向影响。原因在于产业结构高级化对高职院校新技术应用型人才培养提出了更高要求，而现有高职院校的高技能人才培养体系难以完全满足产业升级需求，导致教育与产业发展失衡。这种失衡反映了高职教育在技术创新和人才培养模式上与产业发展的脱节。,
1289,产教融合垂类问题,文本,为高职院校设计一份提升产教融合水平的年度工作重点方案。,高职院校提升产教融合水平的年度工作重点方案包括：1. 加强'双师型'教师队伍建设，提升教师实践能力；2. 深化产业学院建设，推动校企协同育人；3. 调整专业结构，对接区域产业需求；4. 增加企业投入，共建实践教学资源；5. 提升技术创新水平，促进科研成果转化；6. 优化毕业生就业服务，提高本省就业率；7. 加强政府政策对接，争取制度保障。,
1290,产教融合垂类问题,文本,技术创新水平如何影响高职教育产教融合发展？,技术创新水平对高职教育产教融合发展具有显著正向影响。一方面，技术创新是产业发展的第一动力，提升产业整体效益和竞争力；另一方面，技术创新推动高职院校提升新技术应用型人才培养质量，而技术创新能力是衡量人才培养质量的重要标准。因此，加强技术创新能力建设是促进产教深度融合的关键路径。,
1291,产教融合垂类问题,文本,"你好，请根据以下信息生成职位描述：
职位：SEO谷歌优化
学历：本科
经验：1-3年","岗位名称：SEO谷歌优化
学历要求：本科
工作经验：1-3年
岗位要求：
岗位职责：
1、负责公司海外网站的SEO优化工作，涵Google等主要海外搜索引擎，制定包括关键词研究，内容优化和技术优化，提升网站在Google等国际搜索引擎的排名，对SEO效果负责。
2、执行网站内部优化，包括内容、架构、内链和代码优化，网站开发中的SEO审核与咨询，提升网站用户体验和各大搜索引擎可见度。
3、评估、分析、维护并拓展关键词，制定并实施页面关键词布局方案，提升网站搜索排名和自然流量。
4、负责外部链接的建设，拓展并维护优质外链资源，提升网站流量及权重。
5、跟踪分析SEO相关数据，监控流量、排名和转化率，用户行为，定期输出数据报告并基于数据调整优化方案。
6、沟通协作，与设计、运营协作，推动SEO策略实施。指导并优化网站内容，确保内容质量高、相关性强、易于搜索引擎收录，同时吸引并留住目标受众。
8、研究分析竞争对手，掌握行业竞争动态，优化提升SEO效果。
任职要求:
1、4年以上独立操盘GoogleSEO经验，有成功网站排名和流量的案例。
2、精通 Google SEO原理、算法及最佳实践;熟练使用SEO工具GA， GSC， Ahrefs， SEMrush等；
3、英语流利，具备多语言SEO网站优化经验者优先。
4、具有强大的数据分析能力，能够解读复杂数据并转化为可执行的策略，思维清晰而有条理。
5、工作积极主动、细心、踏实，出色的沟通能力。",
1292,产教融合垂类问题,文本,写一个招聘启事，岗位是大模型算法工程师，要求硕士毕业，有经验不限相关经验。,"岗位名称：大模型算法工程师
学历要求：硕士
工作经验：经验不限
岗位要求：
基本介绍
     随着智能时代的到来，行业数字化正在加速网络自动化、智能化的进程。公共开发部发挥全栈AI和算网存（算⼒、⽹络、存储）融合创新优势，打造领先世界的ADN（⾃动驾驶网络）及企业运维产品与解决方案，规划和构建ICT软件公共能⼒，打造先进的嵌入式、云化、AI和大数据软件平台和能力中心，做强软件生态，支撑ICT商业成功。
      我们将人工智能（AI)、大数据（Big Data）、云计算（Cloud）等融入下一代智能软件系统，用智能点亮ICT。
       加入我们，和数千人研发团队、数百名技术专家、数十所全球研究所共同见证智能世界的无限可能，携手锻造创新能力强、软件能力强、AI能力强的研发队伍。
招聘岗位
1. 多模态大模型方向：
   •构建ICT场景多模态基础模型（网络运维/故障诊断/资源调度）
   · 突破跨模态对齐、生成式推理、动态知识演化等关键技术
   · 研发下一代智能交互核心引擎
2. 算法研发方向：
   · 深耕计算机视觉（目标检测/图像分割/3D重建）
   · 探索自然语言处理（对话系统/知识图谱/大模型优化）
   · 攻坚决策智能（强化学习/运筹优化/自动驾驶算法）
技术栈期待 •多模态方向：Transformer/Diffusion/NeRF/LLM等相关经验 •算法方向：CV/NLP/RS/SLAM等领域的深度实践 •工具要求：精通PyTorch/MindSpore，有昇腾/GPU分布式训练经验者优先 •学术背景：在CVPR/ICCV/ICML/NeurIPS/ACL等顶会发表论文者优先",
1293,产教融合垂类问题,文本,来一份AI架构师的岗位介绍。学历本科，经验5-10年。,"为您生成了一份AI架构师的招聘详情：
**我们正在寻找一位AI架构师！**
* **我们希望您拥有：** 本科学历以及5-10年的相关工作经验。
* **您将负责：**
【岗位职责】
1.充分理解业务战略，参与顶层设计
2.协助部门推进业务模式由原来的人控模式快速演进到以科技平台为支撑的系统驱动模式
3.设计AI平台技术架构，构建多模块集成能力，规划GPT语义引擎、情绪识别与推荐系统结构
4.推动模型部署、版本迭代与算力效率提升
5.推进数据、算法、模型等板块的整合，推进核心AI引擎能力上线
6.确保AI模块与产品、平台系统良好对接
【任职要求】
1.本科及以上学历，5年以上技术管理经验，2年以上AI行业解决方案或AI算法架构研发从业经历，具备较强的业务需求分析能力，能快速理解业务逻辑，准确识别业务痛点并转化为平台化的技术需求。
2.精通Python语言
3.AI算法技术能力扎实，熟悉常见的机器学习、深度学习算法原理和应用场景，精通大模型架构、微调、推理优化与部署管理
4.精通语音识别、意图识别、图文生成、智能对话系统、推荐、撮合、预测、模拟等场景的核心算法
5.有较强的系统思维与工程化落地能力，能独立完成平台架构方案的设计与评审
6.学习能力突出，能主动追踪业界前沿的AI技术和平台架构理念，将技术融入平台建设
7.具备用户价值导向、运营价值导向思维
8.熟悉其他技术板块优先，例如工程化、大数据、区块链领域，有大健康/体重管理服务类行业经验优先
9.能拥抱变化、接受挑战，完成部门交办的其他事务",
1294,产教融合垂类问题,文本,为python开发工程师这个职位生成岗位职责和任职要求。基本情况：学历本科，经验：3到5年。,"根据您的要求，python开发工程师的岗位职责和任职要求如下：
**职位名称：** python开发工程师
**硬性要求：** 本科, 3-5年
**工作描述：**
岗位职责：
• 负责基于 Python 的爬虫发，采集和处理大量数据，保证数据质量和采集效率；
• 根据需求搭建和优化 AI 项目，包括数据预处理、模型训练与部署。
·设计和实现高效、可扩展的Python系统架构，确保系统的稳定性和可维护性。
·熟悉机器学习全流程，包括数据预处理、特征工程、模型训练、评估和优化。
·精通AI、机器学习、自然语言处理(如NLP或GPT)等基础知识
• 参与后端系统的设计与开发，使用 Python 编写高效的服务端逻辑；
• 编写高质量的代码，进行单元测试、性能调优和代码复审；
• 与团队成员紧密合作，解决技术难题，并持续优化现有系统；
岗位要求：
·本科及以上学历，计算机科学、软件工程、人工智能或相关专业，3年及以上python开发工作经验； 
·掌握至少一种AI编程语言能力，如Python等，熟悉OpenAI、DeepSeek、Qwen大模型的运用
• 扎实的 Python 编程基础，熟悉常见的开发框架（如 Flask、FastAPI 等）；
• 具备爬虫开发经验，能够熟练使用 Scrapy、BeautifulSoup、Selenium 等爬虫工具；
• 熟悉机器学习/深度学习框架（如 TensorFlow、PyTorch 等），有 AI 项目开发经验者优先；
• 熟悉 Linux 操作系统和常用开发工具，能够高效使用 Git 进行版本控制；
• 良好的团队合作能力，沟通能力和自我驱动力，能够独立解决问题，乐于对前沿技术的钻研；
加分项：
• 有大规模数据爬取和处理经验，了解反爬虫机制；
• 有 AI 项目相关实践经验，特别是在模型部署、性能优化等方面；
• 有使用 Docker、Kubernetes 等容器化技术的经验；",
1295,产教融合垂类问题,文本,请生成大模型算法工程师的岗位描述，用于招聘。要求：3-5年经验，本科学历。,"当然，这是关于“大模型算法工程师”的职位介绍：
* **职位名称：** 大模型算法工程师
* **基本要求：** 本科学历, 3-5年经验
* **具体职责：**
位职责：
1. 设计并优化大模型（如DeepSeek、LLaMA）应用解决方案，覆盖需求分析、实现与性能调优‌；
2. 负责模型训练、调优、部署及维护，保障生产环境高效运行与可扩展性‌；
3. 优化相关算法，提升模型在NLP/CV/语音等领域的性能与效率‌；
4. 根据业务场景调整模型架构与参数，平衡精度、速度及资源利用率‌；
5. 与产品、研发、运营团队协作，推动项目从概念验证到落地实施‌。
任职要求：
1. 计算机科学、人工智能等相关专业本科及以上学历‌；
2. 3年以上深度学习研发经验，具备大模型实战经验优先‌；
3. 精通Python，熟悉Java或其他编程语言‌；
4. 熟练使用TensorFlow/PyTorch等框架及分布式训练‌；
5. 熟悉大模型架构（Transformer、GPT、BERT等）及实际应用场景‌；
6. 掌握CUDA、TensorRT等GPU加速技术，具备硬件性能优化能力‌；
7. 团队协作能力强，适应技术快速迭代，主动探索新技术（如联邦学习、AutoML）‌。",
1296,产教融合垂类问题,文本,我需要一个AI算法工程师的职位描述（JD），候选人需要有6个月的工作经验和本科学历。,"好的，请查阅这份AI算法工程师的职位描述：
**基本信息：**
* 岗位：AI算法工程师
* 学历：本科
* 经验：6个月
**详细描述：**
职位描述：
1.大言模型构建与微调：基于一手电商特点，构建和微调大语言模型，支持一手零售业务，提升系统智能化水平。具备SFT经验，预训练（pretrain）、强化学习（reinforcement learning）经验者优先。
2.知识问答系统优化：基于RAG技术，提升低幻觉知识问答的效果，增强AI导购和营销效率，优化用户体验。
3.AI Agent系统构建：探索并构建以大语言模型为核心的AI Agent系统，推动智能决策，实现处理策略和流程的自动化编排，接入线上系统。
4.自然语言处理应用：支持实体抽取、语义理解、文本生成、文本表征等场景，构建一手电商穿搭和导购相关知识库。
5.图像处理应用：支持图像理解、图像分割、图像生成等场景，推动图像处理技术的应用落地。
职位要求：
1.学历要求：本科及以上学历，计算机、人工智能、自然语言处理、机器学习等相关专业。
2.工作经验：1年以上大语言模型相关工作经验，具备SFT、RAG、AI Agent等技术的落地经验。NLP与深度学习基础：掌握传统NLP、深度学习算法，具备相关实战经验；有开源社区贡献或大规模应用经验者优先。
3.大模型相关经验：具有大规模预训练、微调（fine-tuning）、强化学习（RLHF）等经验者优先；能够根据学术论文复现模型者优先。
4.能适应高强度的工作节奏。
团队介绍： 我们的团队致力于打造基于大语言模型的创新应用，探索AI技术的无限可能。在这波AI技术快速发展的浪潮中，我们诚邀您加入，推动技术创新，塑造行业领先的AI应用产品。您将接触到前沿技术，参与最具挑战性的项目，助力公司在智能技术领域保持领先。",
1297,产教融合垂类问题,文本,为自然语言处理工程师这个职位生成岗位职责和任职要求。基本情况：学历本科，经验：经验不限。,"**【招聘岗位】** 自然语言处理工程师
**【任职要求】**
* **学历：** 本科
* **经验：** 经验不限
**【岗位介绍】**
岗位主要职责： 
1.参与语音及自然语言处理相关的研发工作； 
2.参垂直领域(例如金融，健康等)的知识图谱流程化建设； 
3.负责面对业务场景的语音及NLP相关SOTA模型的开发，测试，部署及运维和优化； 
4.根据客户需求快速构建语音及NLP相关的解决方案及参与项目实施； 
5.完成参与的语音及NLP相关研发工作的文档及知识产权(例如专利等)撰写； 
6.跨区域(广州-香港)协同工作。 
任职要求: 
1.计算机，软件工程，信息技术，电气电子工程等领域相关专业本科及以上学历； 
2.至少熟练使用一门编程语言例如Java， Python， JavaScript/Nodejs， Go等 
3.掌握机器学习，深度学习等基础知识； 
4.具有语音识别或自然语言处理等项目开发经验； 
5.至少熟练使用一种深度学习框架例如Tensorflow或PyTorch等； 
6.有情感计算，认知计算及知识图谱等领域的实际开发及工程实施经验优先； 
7.有较强的分析问题解决问题的能力，快速学习者； 
8.有责任心，工作踏实认真，有团队合作精神。",
1298,产教融合垂类问题,文本,写一个招聘启事，岗位是大模型研究员，要求学历不限毕业，有经验不限相关经验。,"好的，请查阅这份大模型研究员的职位描述：
**基本信息：**
* 岗位：大模型研究员
* 学历：学历不限
* 经验：经验不限
**详细描述：**
1. 负责自动驾驶大模型研发和落地工作，包括但不限于大规模模型pre-training，post-training，精通强学习者优先；
2. 负责模型的研发、优化与维护，涵盖数据准备、模型训练、参数调优等全⽅位⼯作；
3. 深⼊探究人工智能前沿技术，推动模型在泛化、推理、性能和效率等关键技术指标上的持续进步，技术探索
职位要求
1. 拥有计算机科学、数学、物理、⼈工智能或自然语言处理等相关领域的硕士或更高学位；
2. 扎实的编程基础、数理基础和预研能力
3. 能够设计达到业界先进的算法，根据项目需求，完成算法的设计、验证和优化，有NLP/ML顶会发表经验者优先；
4. 有较强的综合工作能力，了解上下游服务，基于所处的算法模型工作，能够配合上游拉通数据，协同下游应用的具体业务场景落地；
5. 有较强的创新能力，持续跟踪研究大模型领域最前沿的算法模型，应用到部门产品中，有丰富的大模型开发实践交付经验者优先；",
1299,产教融合垂类问题,文本,如果我要招聘一个大模型算法工程师，要求是硕士和1-3年，职位描述应该怎么写？,"根据您的要求，大模型算法工程师的岗位职责和任职要求如下：
**职位名称：** 大模型算法工程师
**硬性要求：** 硕士, 1-3年
**工作描述：**
岗位职责：
    1、负责大模型(视觉或语言)的预练开发和调优工作；
    2、负责大模在具体业务场景的适配和应用，如fine-tuning、prompt设计等；
    3、负责大模型的推理优化和应用部署，如压缩量化、推理加速等。
    4、负责Deepseek+RAG的知识库系统底层开发。
任职要求：
    1、硕士及以上学历，985/211院校毕业优先。计算机相关专业，熟悉深度学习、计算机视觉、自然语言处理等领域的专业知识，具有2年以上工作经验；
    2、熟悉Transformer、RAG等模型，对大模型的数据处理及训练技术有深入理解；
    3、熟悉Pytorch/Tensorflow深度学习框架，至少掌握Python或C++其中一种编程语言；
    4、熟悉常见的强化学习算法原理(如DQN、DDPG、A3C、PPO等)，有相关训练和开发经验者优先；
    5、具有TensorRT、ONNX推理优化和部署经验者优先；
    6、曾发表论文者优先。",
1300,产教融合垂类问题,文本,来一份算法工程师的岗位介绍。学历本科，经验3-5年。,"当然，这是关于“算法工程师”的职位介绍：
* **职位名称：** 算法工程师
* **基本要求：** 本科学历, 3-5年经验
* **具体职责：**
工作责：
 1. 理解工业场景，如订单预测、物料需求预、设备预测性维护、设备参数趋势预测等。 
2. 与研发、生产、品质、采购、计划、物流等各业务部门密切合作，深入挖掘和分析业务数据。
 
3. 分析和清洗工业数据，运用统计学和机器学习方法构建数学模型，解决实际问题。 
4. 实现业务与算法的融合，负责算法模型项目的开发和落地。
 岗位要求：
 1. 本科及以上学历，数学、统计、计算机等相关专业，3年以上数据挖掘工作经验。 
2. 具备扎实的统计学、机器学习和深度学习基础；能够熟练使用统计学、机器学习和深度学习方法解决业务问题。 
3. 熟练掌握至少一种高级编程语言，如Python、Java或C++，熟悉常用算法框架如scikit-learn、Pytorch、Tensorflow和Java ML，熟悉copilot等AI工具。 
4. 熟练掌握大数据框架和相关工具，如Spark、Hadoop及其生态工具。 5. 熟练掌握复杂的数据库应用。 
6. 具备良好的沟通和自我驱动力，对业务有良好的数据化思维能力，抗压能力强 
7.有制造业AI算法落地经验
应用于设备：锡膏印刷机、贴片机、回流焊炉、AOI检测设备、AVI、X-RAY测试设备 
实现的AI场景：工艺优化、设备预测性维护、数字孪生、智能排产、需求预测等 
AI技术：机器学习、回归、分类、聚类、关联分析等算法 regression、random forest、lightGBM、kmeans、Apriori等",
1301,产教融合垂类问题,文本,写一个招聘启事，岗位是自然语言处理算法工程师，要求硕士毕业，有经验不限相关经验。,"当然，这是关于“自然语言处理算法工程师”的职位介绍：
* **职位名称：** 自然语言处理算法工程师
* **基本要求：** 硕士学历, 经验不限经验
* **具体职责：**
一、岗位职责
1、负责人工智能应用系统的设计、开发与优化，包括但不限于数据分析、机器学习模型训练与部署、⾃然语⾔处理等。
2、参与项⽬需求分析，制定技术方案并推动落地实施。
3、解决系统开发与运行中的技术难题，持续优化系统性能。
4、编写技术⽂档，确保项目开发流程的规范性与可维护性。
5、完成上级领导交办的其他工作。
二、岗位要求
（一）工作经验：
1.具备AI、算法模型研发相关实习或实践经历；
2.有大模型研发相关工作经验者优先。
（二）教育背景：计算机科学、人工智能、软件工程或相关专业硕士及以上学历优先考虑。
（三）技能要求：
1.熟悉深度学习理论基础，如深度学习、NLP、Agent、RAG等，熟悉主流大模型及其基本原理，如GPT、BERT等；
2.熟悉常用推荐算法，如：XGBoost、SVD、DeepFM等；
3.具有较强的逻辑性，思路清晰、沟通能力佳，拥有强烈的责任心和团队合作精神；
4.具有较强的学习能力，能够跟踪相关领域的前沿技术应用。",
1302,产教融合垂类问题,文本,"你好，请根据以下信息生成职位描述：
职位：计算机视觉算法工程师
学历：本科
经验：3-5年","**【招聘岗位】** 计算机视觉算法工程师
**【任职要求】**
* **学历：** 本科
* **经验：** 3-5年
**【岗位介绍】**
位职责：
1.负责工业场景下机器视觉核心算法的研发与优化，包括图像预处理、特征提取、目标检测、缺陷识别、3D点云处理等模块。
2.针对新能源（锂电池/光伏组件）、精密电子（PCB/FPC检测）、汽车零部件（尺寸测量、表面缺陷）等行业需求，设计高精度、高鲁棒性的视觉检测方案。
3.配合硬件团队完成相机/镜头/光源选型、光学系统调试及算法落地部署，确保系统实时性与稳定性。
4.主导深度学习在工业检测中的应用，开发基于CNN、Transformer等模型的分类、分割、异常检测算法。
5.撰写算法设计文档、技术专利及标准化代码，为工程团队提供算法支持及客户现场技术攻关。
6.跟踪行业前沿技术（如小样本学习、自监督学习、多模态融合），推动算法在工业场景的迭代创新。
任职要求：
核心能力：
1.计算机/自动化/数学/电子信息等专业，硕士及以上学历（优秀本科生可放宽），3年以上工业视觉算法开发经验。
2.精通C++/Python编程，熟练使用OpenCV/Halcon/VisionPro等视觉库，掌握PyTorch/TensorFlow框架及模型压缩技术。
3.扎实的图像处理功底，精通滤波、形态学、边缘检测、模板匹配、几何变换、相机标定等传统算法。
4.具备工业检测项目全流程经验：需求分析→数据采集→算法选型→模型训练→工程落地→性能优化。
5.熟悉常用的工业相机（面阵/线扫/3D等）、镜头（远心/FA等）、光源（结构光/同轴光等）特性及选型逻辑。
行业适配加分项：
1.有新能源行业经验（如锂电池极片瑕疵检测、光伏EL缺陷分析）或汽车零部件（焊接/涂胶检测）项目背景。
2.熟悉3D视觉技术（结构光/双目/ToF）、点云配准、三维重建及高精度测量算法。
3.掌握C#/Qt等上位机开发，具备嵌入式（ARM/FPGA）算法移植经验者优先。
4.在顶会（CVPR/ICCV等）或SCI期刊发表过机器视觉相关论文，或持有发明专利者优先。
软性要求：
1.具备严谨的工程思维，能快速定位产线检测中的光学干扰、运动模糊等实际问题。
2.有强烈的技术钻研精神，能承受高压环境下的技术攻关挑战。
3.有优秀的跨部门协作能力，可清晰传达技术方案至非技术人员。
4.有良好的跨团队协作意识，能够高效对接算法、电气、机械团队完成系统联调。
 工作地点：广州
我们能为您提供：五险一金、带薪年假、年终奖金、国定节假日正常休息、供应加班餐、生日福利、节日礼品、不定期组织团建及相关活动。 
职位福利：五险一金、绩效奖金、带薪年假、年底双薪、每年多次调薪、多次晋升机会、团队气氛活泼、午休2小时 
职位亮点：五险一金、带薪年假、年终奖金、国定节假日 
公司名称
广州革睿特智能科技有限公司
上班地址
广州市-增城区-宁西街创誉路76号平安(增城)科技硅谷A3栋10楼1002室A03栋10楼1001-1005",
1303,产教融合垂类问题,文本,我需要一个数据管理与应用工程师的职位描述（JD），候选人需要有1-3年的工作经验和本科学历。,"当然，这是关于“数据管理与应用工程师”的职位介绍：
* **职位名称：** 数据管理与应用工程师
* **基本要求：** 本科学历, 1-3年经验
* **具体职责：**
岗位职责：
一.数据治理体系建设
1.参与制定数标准、数管理规则，建立主数据管理体系；
2.实施数据质量监控与清洗，推动业务部门整改数据问题；
3.参与制定数据安全策略，确保符合《数据安全法》及行业规范；
4.优化数据采集、存储、使⽤流程，推动数据治理⼯具落地；
5.参与编写数据治理⽂档，组织内部数据素养培训。
二.数据开发与应用
1.负责数据中台及BI的开发及运维；
2.参与⾯向业务目标的数据建模与数据分析工作
  a)基于ERP/MES/PS等业务系统数据，为各领域提供数据分析支持；
  b)基于业务需求，开发数据接口服务，赋能业务部门数据应用；
  c)协同业务部门，识别数据痛点，推动数据驱动的业务改进项目。
任职要求：
1.本科及以上学历，计算机相关专业，两年以上数据治理与应用开发工作经验；
2.熟悉数据治理理论与方法，具备数据治理实践能力与项目经验；
3.熟悉SQL，熟练操作至少1种主流数据库（MySQL、Oracle、PostgreSQL等）；
4.熟悉数据仓库的建模理论与维度建模等数据模型设计、开发流程；
5.责任心强、工作态度积极，具备良好的数据逻辑思维和服务意识；
6.了解制造业数据场景，具备制造业或供应链行业背景者优先；
7.熟悉大数据处理技术（Hadoop、Spark、Flink、Doris等）的优先；
8.熟悉数据治理体系（如DCMM、DAMA）的优先；
9.熟悉AI大模型原理、应用与开发的优先。",
1304,产教融合垂类问题,文本,我需要一个计算机视觉算法工程师的职位描述（JD），候选人需要有经验不限的工作经验和本科学历。,"岗位名称：计算机视觉算法工程师
学历要求：本科
工作经验：经验不限
岗位要求：
岗位职责：  
1. 参与计机视觉及深度学习相关算法的研发与优化，包括但不限于目标检测、图像割、姿态估计等任务。  
2. 基于OpenCV进行图像预处理、特征提取、数据增强等开发工作，提升算法性能。  
3. 协助搭建和训练深度学习模型，并进行模型调优与部署。  
4. 负责数据集的采集、清洗、标注及管理，确保数据质量满足训练需求。  
5. 配合团队完成算法测试、性能评估及文档撰写，推动技术落地应用。  
6. 跟踪前沿技术（如多模态学习、自监督学习等），探索创新解决方案。  
任职要求
1. 学历要求：计算机、人工智能、电子工程、自动化等相关专业本科及以上学历。  
2. 技术能力：  
   - 熟悉Python编程，掌握PyTorch/TensorFlow等深度学习框架。  
   - 熟练使用OpenCV进行图像处理（如滤波、边缘检测、特征匹配等）。  
   - 了解经典计算机视觉算法（如SIFT、SURF、YOLO、Mask R-CNN等）。  
   - 具备模型训练、调参及优化经验，熟悉常见数据增强方法。  
3. 其他要求：  
   - 良好的学习能力和团队协作精神，能阅读英文技术文档。  
   - 对AI技术有热情，逻辑清晰，具备一定的抗压能力。",
1305,产教融合垂类问题,文本,请生成AI开发工程师的岗位描述，用于招聘。要求：5-10年经验，本科学历。,"当然，这是关于“AI开发工程师”的职位介绍：
* **职位名称：** AI开发工程师
* **基本要求：** 本科学历, 5-10年经验
* **具体职责：**
工作职责：
1.主导研发处AI总体技术架设计与系统部署，构建领域知识库。
2.负责通用大模型与专用模型的训练、微调、蒸馏及跨平台部署优化。
3.构建并持续优化公司级AI智能体体系，推进多模态感知、决策与知识融合的智能体框架落地。
4.负责研发团队的技术⽅向规划与指导，建⽴⾼效的模型开发、测试与迭代流程。
5.主导自动化产线AI控制系统的算法设计与架构整合，实现生产系统智能化与⾃适应优化。
6.设计与维护AI服务层与抽象层架构，确保模型调用、知识检索与服务接口的高可用性与可扩展性。
7.推进内部AI平台的二次开发与工具链集成，加速从算法到业务场景的落地周期。
岗位要求： 
1.精通AI智能体开发、RAG知识增强架构、Prompt工程。
2.熟悉大模型部署、分布式训练、模型量化与推理优化流程，掌握 PyTorch / TensorRT / ONNX Runtime 等框架。
3.具备模型压缩、LoRA / PEFT 微调、跨域知识迁移等经验，能够实现模型在不同业务场景下的快速适配。
4.具备自动化生产控制算法、工业AI落地经验，理解摄像头模组行业的测试原理与图像算法。
5.掌握 OpenCV、C++、Python、CUDA 等开发语言及图像处理框架，能进行高效的底层性能调优。
6.具有丰富的团队领导与跨部门协作经验，能独立发现系统瓶颈并制定端到端技术解决方案。",
1306,产教融合垂类问题,文本,请帮我撰写一份关于“大模型算法工程师”岗位的招聘文案，要求应聘者具备本科学历和1-3年的经验。,"没问题，为您准备好了大模型算法工程师的职位说明：
**岗位：** 大模型算法工程师
**任职资格：**
* 学历背景：本科
* 经验年限：1-3年
**工作内容：**
岗位职责
1. 负责大模型（LLM）应用的开发、部署及优化，包括与DeepSeek等第三方大模型接口的对接与集成；
2. 基于业务需求开发智能化功能模块，如自动审批系统、设计图生成（AI生成设计）、目标检测（CV方向）等；
3. 参与大模型服务端部署，优化模型推理性能及资源占用，确保高并发场景下的稳定性；
4. 设计并实现与大模型相关的数据预处理、结果后处理及业务逻辑整合；
5. 跟踪大模型领域技术动态，探索多模态（文本、图像）场景下的创新应用。
任职要求
1. 学历、经验
本科及以上学历，计算机科学、人工智能、数学等相关专业；1-2年算法开发或AI应用开发经验，优秀应届生可放宽。
2. 技术能力
熟练掌握Python，熟悉至少一种深度学习框架（PyTorch/TensorFlow，有Hugging Face Transformers等大模型工具使用经验；
熟悉RESTful API开发，具备大模型接口（如DeepSeek、GPT、文心一言等）对接经验者优先；
了解模型部署技术（TensorRT/ONNX/Docker），熟悉云平台（AWS/阿里云/腾讯云）服务部署；
熟悉计算机视觉（目标检测、图像生成）或自然语言处理（NLP）任务，有YOLO、Diffusion模型、OCR等实践经验者优先。
3. 项目经验
参与过AI系统开发项目，如自动化审批、智能设计生成、图像识别等；
熟悉多模态模型（文本+图像）应用场景，能独立完成数据准备、模型调优及效果验证。",
